"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"1",2,9,10,5,2,1,1,1,1,5,1,5,5,1,1,1,1,1,8,8,8,10,1,1,5,10,1,1,1,28
"2",1,3,6,4,2,2,4,4,3,2,1,3,9,9,7,4,1,1,9,9,6,10,8,3,2,8,3,3,1,27
"3",2,6,5,3,2,4,3,5,5,2,1,5,8,6,7,4,4,3,8,8,4,8,3,4,4,9,6,4,1,26
"4",2,10,8,8,2,1,1,1,1,1,1,1,1,4,1,4,1,1,6,6,7,10,7,1,2,10,1,1,1,21
"5",2,10,10,10,2,2,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,3,1,1,1,8,1,1,1,43
"6",2,6,7,4,2,5,2,2,5,1,2,5,8,4,1,3,1,2,2,5,6,10,2,2,3,9,4,4,1,37
"7",2,7,8,7,2,1,1,1,3,2,1,1,6,3,1,1,1,1,5,4,2,5,5,2,2,9,1,1,1,41
"8",1,8,10,10,1,10,1,1,10,1,1,1,1,10,1,10,1,6,10,1,1,10,1,1,1,10,1,1,1,36
"9",2,8,9,8,2,1,1,1,1,1,1,1,5,3,1,1,1,1,5,5,3,10,5,2,3,8,1,1,1,52
"10",2,8,8,8,2,1,1,1,1,1,1,1,10,8,8,10,10,10,10,6,6,10,8,10,10,10,1,1,1,46
"11",1,6,3,8,2,1,1,1,1,1,1,1,2,1,1,1,1,1,6,5,3,6,2,1,3,8,1,1,1,47
"12",2,10,10,10,2,5,3,3,5,3,1,5,1,1,1,1,1,1,1,1,1,10,5,5,1,10,1,5,1,61
"13",2,6,3,1,2,10,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,10,5,1,1,26
"14",2,7,3,1,2,1,1,4,5,6,3,8,8,3,5,3,2,2,6,6,6,9,6,6,4,9,2,1,1,27
"15",2,8,4,8,2,1,1,1,1,1,1,2,5,5,2,1,1,1,5,5,5,5,5,3,1,8,1,1,1,19
"16",2,9,8,6,2,1,1,1,1,1,1,1,7,1,6,1,1,1,8,7,1,10,5,1,1,1,1,1,1,20
"17",2,7,8,6,2,1,1,1,1,1,1,1,8,3,1,1,1,1,5,5,2,7,3,1,1,9,1,1,1,38
"18",2,8,5,3,2,1,1,1,1,1,1,3,6,1,1,1,1,1,6,6,1,9,2,7,1,8,8,1,1,37
"19",2,8,7,5,2,1,1,3,3,2,1,4,4,3,1,1,1,1,3,3,3,10,5,5,1,9,3,1,1,31
"20",1,8,10,2,2,6,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,42
"21",2,9,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,7,1,1,1,8,1,1,1,59
"22",2,8,8,8,2,1,1,1,1,1,1,1,4,3,1,1,1,1,5,5,2,6,5,1,1,10,1,1,1,57
"23",2,6,7,7,2,2,1,1,3,1,1,1,6,1,1,1,1,1,5,3,3,5,4,1,1,5,1,1,1,55
"24",2,8,9,4,2,1,1,1,1,1,1,1,1,6,6,1,1,1,6,6,6,10,6,6,6,6,1,1,1,58
"25",2,10,4,1,2,5,5,5,5,5,5,10,1,2,1,1,2,2,7,5,4,5,5,9,1,10,5,5,1,64
"26",1,10,1,7,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,6,6,1,1,1,10,1,1,1,22
"27",2,10,10,10,2,10,10,10,10,10,10,1,1,1,1,1,1,1,1,5,1,7,1,1,1,8,1,1,1,23
"28",1,9,8,1,2,1,1,1,4,4,4,1,1,4,4,4,3,4,4,4,1,1,4,3,10,1,1,1,1,30
"29",2,5,5,1,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,6,1,1,4,1,1,10,1,1,1,41
"30",2,7,7,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,10,1,1,1,10,1,1,1,45
"31",2,6,7,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,10,1,3,1,10,1,1,1,59
"32",1,8,10,7,2,1,1,1,1,1,1,1,9,1,1,1,1,1,1,5,1,8,1,1,1,9,1,1,1,60
"33",1,6,5,3,2,3,5,2,1,1,1,1,1,5,5,5,2,1,1,5,1,8,3,5,1,8,1,1,1,25
"34",2,5,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,22
"35",2,6,7,4,2,1,1,1,1,1,1,2,7,5,4,1,1,1,1,4,1,10,1,5,1,10,1,1,1,42
"36",2,8,8,5,2,1,2,3,4,3,1,3,7,3,2,1,1,1,6,6,4,6,5,3,5,8,3,2,1,33
"37",2,8,8,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,58
"38",2,6,5,3,2,1,2,3,2,2,1,3,8,1,1,1,1,1,1,1,3,6,6,3,3,1,1,1,1,58
"39",2,6,10,10,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,10,1,1,1,1,1,1,1,27
"40",2,10,8,10,2,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,1,1,1,10,1,1,1,41
"41",2,9,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,1,1,6,1,1,1,59
"42",2,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,10,1,1,1,72
"43",2,8,5,8,2,1,2,1,3,6,1,1,9,1,1,3,2,2,6,6,6,10,6,5,5,10,1,1,2,27
"44",2,8,9,10,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,8,3,3,3,3,1,1,2,26
"45",1,4,5,8,2,1,1,3,2,1,1,2,2,3,3,1,1,1,2,6,1,7,1,2,4,9,1,1,2,20
"46",1,7,7,6,2,1,1,1,1,1,1,1,3,4,2,1,1,1,5,5,2,2,5,3,1,9,1,1,2,32
"47",2,6,6,4,2,1,1,1,6,1,1,1,8,6,3,1,1,1,6,6,9,9,3,6,1,7,1,1,2,32
"48",1,5,1,5,2,1,1,1,1,1,1,1,10,3,1,1,1,1,8,10,1,6,6,1,1,10,1,1,2,31
"49",2,8,8,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,10,1,1,2,57
"50",1,6,8,7,2,1,1,1,1,1,1,1,7,1,1,1,1,1,6,6,1,9,1,1,1,7,1,1,2,54
"51",2,7,8,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,7,1,1,2,19
"52",1,3,6,5,2,6,2,2,1,1,1,3,9,9,6,4,1,1,6,7,4,9,4,6,2,9,1,1,2,19
"53",2,8,4,3,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,1,5,1,1,1,10,1,1,2,27
"54",2,10,7,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,10,1,1,1,10,1,1,2,34
"55",2,10,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,10,1,1,1,10,1,1,2,34
"56",2,6,5,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,6,6,1,1,1,7,1,1,2,35
"57",2,9,10,9,2,1,1,1,1,1,1,1,3,1,1,1,1,1,5,6,5,1,1,1,1,10,1,1,2,53
"58",2,9,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,3,1,1,1,6,1,1,2,52
"59",2,9,5,10,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,3,1,3,1,1,1,3,1,1,2,61
"60",2,4,4,7,2,1,1,6,6,1,1,10,10,1,6,1,1,1,9,6,6,10,10,6,1,10,1,1,2,28
"61",2,7,5,6,2,3,3,3,3,3,1,3,8,2,1,1,1,1,3,3,3,10,4,5,3,6,3,3,2,30
"62",1,4,4,5,2,1,3,3,5,2,1,4,4,1,1,1,1,1,3,3,3,10,4,3,1,4,5,2,2,45
"63",2,7,6,6,2,1,3,3,4,1,1,2,4,1,1,1,1,1,4,4,4,9,1,2,1,7,3,2,2,50
"64",1,5,6,6,2,5,3,10,10,1,1,1,10,4,10,1,1,1,10,10,1,10,10,5,5,10,1,1,2,50
"65",1,8,8,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,10,1,1,1,10,1,1,2,24
"66",2,8,8,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,6,6,10,1,1,1,10,1,1,2,37
"67",2,10,8,8,2,1,1,1,1,1,1,1,10,1,1,1,1,1,5,5,1,1,1,1,1,10,1,1,2,45
"68",2,5,10,9,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,1,6,6,1,3,10,1,1,2,63
"69",2,7,10,7,2,1,1,1,1,1,1,1,10,1,1,1,1,1,6,6,6,1,6,6,1,10,1,1,2,53
"70",2,10,10,10,2,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,6,1,1,1,1,1,2,70
"71",1,6,1,8,2,1,1,1,2,1,1,1,5,1,1,1,1,1,7,6,1,8,1,1,5,3,1,1,1,20
"72",2,6,1,6,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
"73",1,7,8,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,8,1,1,1,9,1,1,1,24
"74",2,4,7,4,2,1,1,1,1,5,1,1,1,2,1,1,1,1,5,5,4,10,5,1,4,10,2,1,1,25
"75",2,8,8,7,2,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,3,4,1,1,10,1,1,1,18
"76",2,8,8,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,5,3,1,10,1,1,1,8,1,1,1,32
"77",2,8,8,7,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,8,8,1,1,9,1,1,1,38
"78",1,6,6,5,2,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,10,1,3,5,1,1,1,1,30
"79",1,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,10,1,1,1,10,1,1,1,38
"80",2,9,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,10,8,1,1,7,1,1,1,45
"81",2,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,10,1,1,1,10,1,1,1,46
"82",2,10,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,1,1,10,1,1,1,49
"83",2,8,6,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,5,6,3,3,8,1,1,1,61
"84",1,8,8,2,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,10,6,1,1,10,1,1,1,37
"85",2,9,7,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,1,8,1,1,1,53
"86",2,10,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,55
"87",1,10,10,9,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,2,1,10,1,1,1,10,1,1,1,59
"88",2,9,9,10,2,1,1,1,3,1,1,2,6,1,1,1,1,1,8,7,2,5,1,1,1,4,1,1,1,72
"89",1,8,8,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,10,5,1,1,8,1,1,2,21
"90",2,9,7,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,5,1,1,2,19
"91",2,9,3,10,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,10,1,1,1,10,1,1,2,22
"92",1,6,5,5,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3,5,1,3,1,1,1,9,1,1,2,30
"93",2,8,8,8,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,2,30
"94",2,9,9,2,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,1,8,1,3,3,3,1,1,2,40
"95",2,10,10,9,2,1,1,1,1,1,1,10,1,1,1,1,1,1,5,5,1,10,1,1,1,1,1,1,2,51
"96",2,10,8,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,2,51
"97",2,9,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,2,1,1,5,10,1,1,2,18
"98",1,10,8,10,2,1,1,1,1,1,1,1,3,1,1,1,1,1,6,5,1,1,6,1,1,2,1,1,2,38
"99",2,9,5,5,2,1,1,1,1,1,1,1,10,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,45
"100",2,10,10,10,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,6,1,1,3,1,1,1,1,1,2,67
"101",1,2,5,3,2,3,5,1,1,2,1,3,1,6,2,4,1,2,4,8,4,1,6,5,3,7,1,1,1,29
"102",1,1,8,5,2,4,4,10,4,4,6,10,10,10,1,3,6,6,8,6,6,8,8,4,7,6,4,3,1,28
"103",2,8,9,9,2,1,1,1,1,1,1,4,4,6,6,1,1,1,6,6,6,10,6,1,1,10,1,1,1,26
"104",1,8,5,5,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,6,10,1,1,1,9,1,1,1,19
"105",2,10,10,5,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,10,6,1,1,1,1,1,1,31
"106",2,8,7,6,2,1,6,1,1,1,1,6,1,1,6,6,1,1,8,8,8,7,1,4,1,8,1,1,1,31
"107",2,10,7,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,1,6,1,1,1,36
"108",2,10,8,10,2,1,1,1,3,1,1,2,7,3,2,1,1,1,6,5,5,10,5,3,3,10,1,1,1,30
"109",2,6,8,6,2,1,1,1,1,1,1,1,8,1,1,1,1,1,3,5,6,10,1,7,1,3,1,3,1,55
"110",2,9,10,10,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,51
"111",2,7,5,6,2,3,2,1,2,3,1,5,1,4,3,6,7,8,5,3,2,10,5,6,2,6,5,3,1,54
"112",2,9,9,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,1,1,1,10,1,1,1,60
"113",1,1,1,1,2,4,4,8,1,7,1,1,6,6,6,1,1,1,6,6,6,10,6,6,6,10,1,1,1,23
"114",2,5,5,3,2,1,2,1,1,1,1,1,1,1,1,1,6,1,6,6,1,10,3,1,1,10,1,1,1,28
"115",2,8,6,6,2,1,1,1,1,1,1,1,1,5,5,1,1,5,5,5,3,1,5,1,1,5,1,1,1,22
"116",1,6,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,10,1,5,4,10,1,1,1,25
"117",2,9,6,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,6,6,5,10,1,1,1,10,1,1,1,30
"118",2,5,1,5,2,1,5,1,1,1,1,1,4,1,3,1,1,1,5,5,1,10,1,1,5,8,1,1,1,28
"119",2,8,8,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,9,2,2,9,6,1,1,1,41
"120",2,8,7,6,2,4,7,3,6,1,1,4,7,5,5,3,1,1,5,5,2,4,1,3,1,6,3,3,1,32
"121",2,9,10,8,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49
"122",2,10,10,7,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,10,6,1,1,3,1,1,1,49
"123",1,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,10,1,1,1,55
"124",2,10,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50
"125",1,8,9,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,10,1,1,1,60
"126",2,10,8,10,2,5,5,1,1,1,1,1,5,5,5,5,1,1,5,5,5,10,5,1,1,5,5,1,1,42
"127",2,8,6,5,2,1,6,1,1,1,1,1,1,1,1,1,1,1,5,7,4,10,3,1,1,10,1,1,1,20
"128",2,8,8,6,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,10,1,6,1,10,1,1,1,27
"129",2,10,10,1,2,1,1,1,1,1,1,6,6,1,1,1,1,1,6,6,1,10,6,1,1,6,1,1,1,35
"130",2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,10,10,1,1,10,1,1,1,55
"131",2,9,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,10,1,1,1,10,1,1,1,55
"132",2,10,10,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,10,1,1,1,1,1,1,1,63
"133",2,8,7,6,2,3,6,5,2,2,1,3,7,7,5,4,1,3,7,6,7,8,4,3,6,8,2,4,1,25
"134",2,8,6,1,2,1,3,8,9,3,1,3,1,1,1,4,1,1,7,2,7,1,8,9,10,10,2,1,1,22
"135",1,10,1,10,2,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,8,10,1,1,1,10,1,1,1,31
"136",2,7,3,4,2,3,6,5,6,2,1,6,5,4,3,4,1,1,6,6,5,1,8,7,2,10,7,6,2,31
"137",2,10,10,1,2,1,1,1,1,1,3,2,3,1,1,2,1,1,1,5,1,10,1,4,5,10,1,1,1,32
"138",2,9,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,52
"139",2,6,1,7,2,1,1,1,1,1,1,1,5,1,5,1,1,1,5,5,5,10,1,1,1,10,1,1,1,24
"140",1,9,1,7,2,1,1,1,1,1,1,1,3,1,1,1,1,4,4,5,5,10,1,5,10,10,1,1,1,40
"141",1,4,7,4,2,1,10,3,1,1,1,5,2,4,6,1,1,2,7,5,3,6,1,8,1,9,2,3,1,52
"142",2,7,5,1,2,1,6,1,1,1,1,6,6,1,1,1,1,1,6,6,6,10,1,1,1,6,3,1,1,68
"143",2,4,6,2,2,1,4,1,1,2,1,6,1,8,8,4,6,6,6,8,3,8,1,8,1,9,1,2,2,21
"144",2,6,3,3,2,1,1,1,1,1,1,1,5,5,6,1,1,1,7,6,6,10,1,6,1,10,1,1,2,25
"145",2,6,8,3,2,1,3,1,1,2,1,3,6,1,5,1,2,1,9,9,5,10,8,6,3,9,2,2,2,23
"146",2,7,8,5,2,1,1,1,3,1,1,1,8,5,2,2,1,1,6,6,6,10,5,5,5,9,1,1,2,30
"147",2,7,8,5,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,2,34
"148",2,10,4,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,10,1,1,1,6,1,1,2,36
"149",2,10,9,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,1,1,1,10,1,1,2,49
"150",2,5,6,6,2,1,1,1,1,3,1,1,2,5,1,1,1,1,4,5,3,5,2,2,4,8,1,3,2,46
"151",2,10,10,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,6,1,1,6,1,1,2,18
"152",2,7,6,8,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,1,1,1,6,1,1,2,19
"153",2,8,5,9,2,1,1,1,1,1,1,6,6,1,1,1,1,1,6,6,6,10,1,1,1,6,1,1,2,20
"154",2,7,4,6,2,1,4,1,6,3,4,5,6,5,5,4,3,3,3,3,3,5,1,6,5,6,7,6,2,31
"155",2,8,6,5,2,1,1,1,1,1,1,1,10,1,5,1,1,1,5,5,5,10,1,1,1,10,1,1,2,30
"156",2,10,9,5,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,10,6,1,1,3,1,1,2,36
"157",2,9,9,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,1,1,1,10,1,1,2,58
"158",2,8,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,50
"159",2,8,9,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,1,1,1,10,1,1,2,62
"160",2,10,3,8,2,1,3,8,6,1,1,6,10,1,6,1,1,1,6,6,6,10,1,6,1,6,2,1,2,29
"161",2,7,5,6,2,1,1,1,1,1,1,4,3,1,4,3,1,1,1,1,2,10,5,4,4,10,1,1,2,37
"162",2,4,3,3,2,1,1,1,1,1,1,1,1,6,5,1,1,1,1,5,1,10,1,1,1,1,1,1,2,47
"163",2,7,5,7,2,3,4,5,7,3,2,7,8,5,3,4,1,3,5,6,2,4,9,7,2,8,4,3,2,49
"164",2,8,5,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,10,1,1,2,50
"165",2,6,9,10,2,1,5,3,5,1,2,5,1,5,4,3,1,2,5,5,5,1,5,5,5,5,2,4,2,27
"166",1,1,3,5,2,1,2,1,1,2,1,2,4,5,5,3,1,1,1,1,2,2,1,1,1,1,1,1,2,38
"167",2,8,5,5,2,1,1,1,1,1,1,6,6,1,1,1,1,1,6,6,6,10,1,6,1,6,1,1,2,58
"168",2,9,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,10,1,1,1,10,1,1,2,60
"169",2,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,50
"170",2,1,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,10,1,1,1,10,1,1,2,61
"171",2,10,8,1,2,6,6,1,3,3,1,1,5,1,1,1,1,1,5,5,2,10,1,4,1,10,1,1,1,26
"172",2,10,10,8,2,1,1,1,1,1,1,1,4,1,1,1,1,1,6,6,1,8,1,1,1,6,1,1,1,22
"173",2,8,10,3,2,1,1,1,1,1,1,1,5,2,3,1,3,1,4,3,1,1,3,1,2,4,1,1,1,27
"174",2,10,3,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,5,5,6,6,5,1,1,10,1,1,1,18
"175",2,10,10,10,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,1,10,1,3,1,10,3,1,1,20
"176",2,10,9,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,10,1,1,1,6,1,1,1,42
"177",1,6,8,6,2,2,2,2,1,1,1,1,1,1,3,1,4,3,4,5,3,2,1,1,3,1,1,1,1,31
"178",2,10,9,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,10,1,1,1,1,1,1,1,31
"179",2,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,43
"180",2,8,6,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,47
"181",2,10,10,10,2,2,1,1,2,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,45
"182",2,9,5,6,2,2,1,1,1,1,1,1,4,3,4,1,3,2,4,4,2,2,2,1,2,1,1,1,1,52
"183",2,8,3,3,2,1,1,2,3,1,1,2,8,1,1,1,1,1,6,5,1,10,5,2,1,10,8,2,1,60
"184",2,10,5,10,2,1,1,1,5,1,1,2,2,1,1,1,1,1,2,5,5,4,1,1,4,5,1,1,1,33
"185",1,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51
"186",2,10,2,10,2,2,1,2,2,1,1,1,6,1,1,1,1,1,6,1,3,2,2,1,5,3,1,1,1,46
"187",2,10,3,9,2,3,1,2,2,1,1,1,9,1,1,1,1,1,2,1,5,2,3,1,5,4,1,1,1,50
"188",2,9,8,8,2,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,10,7,5,1,10,6,7,1,1,85
"189",2,10,10,10,2,1,1,1,1,1,1,1,3,1,1,1,1,1,6,6,1,3,1,1,1,8,1,1,2,26
"190",1,5,5,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,10,1,1,1,10,1,1,2,18
"191",2,7,7,10,2,5,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,6,1,1,4,1,1,1,2,25
"192",1,10,6,8,2,1,1,1,1,1,1,5,10,1,5,1,1,1,5,5,5,10,1,1,1,10,1,1,2,39
"193",1,5,9,7,2,7,7,9,2,2,1,2,5,1,1,1,5,1,5,5,2,2,1,1,1,1,1,1,2,37
"194",2,8,8,6,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,10,1,1,1,10,1,1,2,41
"195",2,10,10,9,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,10,1,1,1,10,1,1,2,46
"196",2,8,6,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,8,1,1,8,7,1,1,2,46
"197",2,8,6,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,3,1,1,1,3,1,1,2,23
